mouse_ensembl_gene,chromosome,strand,start,end,coding_start,coding_end,KO_intervals,mouse_symbol
ENSMUSG00000051790,chr11,-,69823122,69837784,69825206,69834438,"[[69825206, 69837784]]",Nlgn2
ENSMUSG00000051811,chr7,-,4751792,4753094,4751882,4752835,"[[4751882, 4753094]]",Cox6b2
ENSMUSG00000051817,chr2,-,152393611,152398063,152396757,152397698,"[[152396757, 152398063]]",Sox12
ENSMUSG00000051839,chr8,+,80493781,80510542,80494054,80509471,"[[80493781, 80509471]]",Gypa
ENSMUSG00000051853,chr15,-,98736634,98763211,98740336,98742740,"[[98740336, 98763211]]",Arf3
ENSMUSG00000051855,chr6,+,30723547,30748465,30723591,30747166,"[[30723547, 30747166]]",Mest
ENSMUSG00000051860,chr3,+,30746340,30767174,30751070,30765438,"[[30746340, 30765438]]",Samd7
ENSMUSG00000051864,chr15,+,86214459,86498503,86214575,86496938,"[[86214459, 86496938]]",Tbc1d22a
ENSMUSG00000051879,chr15,-,101733949,101743109,101734500,101743046,"[[101734500, 101743109]]",Krt71
ENSMUSG00000051885,chr7,-,104733442,104734362,104733445,104734362,"[[104733445, 104734362]]",Olfr664
ENSMUSG00000051890,chr12,+,69241832,69284632,69241918,69283316,"[[69241832, 69283316]]",Klhdc1
ENSMUSG00000051896,chr6,-,70913087,70918927,70913267,70917692,"[[70913267, 70918927]]",Tex37
ENSMUSG00000051910,chr7,-,115470872,116038744,115476921,115801605,"[[115476921, 116038744]]",Sox6
ENSMUSG00000051917,chr6,+,42215328,42216287,42215328,42216284,"[[42215328, 42216284]]",Tas2r144
ENSMUSG00000051920,chr15,-,43020794,43170826,43022530,43169824,"[[43022530, 43170826]]",Rspo2
ENSMUSG00000051934,chr15,+,99125916,99213215,99149906,99212358,"[[99125916, 99212358]]",Spats2
ENSMUSG00000051936,chr6,-,40895270,40900387,40895365,40900093,"[[40895365, 40900387]]",Prss58
ENSMUSG00000051950,chr5,+,149678230,149762599,149678337,149759603,"[[149678230, 149759603]]",B3glct
ENSMUSG00000051951,chr1,-,3214482,3671498,3216025,3671348,"[[3216025, 3671498]]",Xkr4
ENSMUSG00000051952,chr8,+,85225988,85231509,85230497,85231432,"[[85225988, 85231432]]",Olfr371
ENSMUSG00000051956,chr6,-,23648869,23650305,23648912,23650057,"[[23648912, 23650305]]",Rnf133
ENSMUSG00000051965,chr7,+,18987400,18988962,18987605,18988012,"[[18987400, 18988012]]",Nanos2
ENSMUSG00000051977,chr17,-,15543079,15564340,15543976,15563301,"[[15543976, 15564340]]",Prdm9
ENSMUSG00000051978,chr8,-,14027561,14090301,14028083,14090262,"[[14028083, 14090301]]",Erich1
ENSMUSG00000051980,chr16,-,36493696,36562134,36494470,36517786,"[[36494470, 36562134]]",Casr
ENSMUSG00000051984,chr19,-,44516957,44545864,44517312,44543779,"[[44517312, 44545864]]",Sec31b
ENSMUSG00000051985,chr1,-,135953585,136006342,135954027,136006342,"[[135954027, 136006342]]",Igfn1
ENSMUSG00000051989,chr16,+,92301286,92313041,92305386,92310953,"[[92301286, 92310953]]",Smim11
ENSMUSG00000051998,chr1,-,133679091,133690108,133679781,133688906,"[[133679781, 133690108]]",Lax1
ENSMUSG00000052012,chr10,-,129605492,129612570,129607550,129608479,"[[129607550, 129612570]]",Olfr796
ENSMUSG00000052013,chr16,+,45224315,45252892,45224353,45250594,"[[45224315, 45250594]]",Btla
ENSMUSG00000052026,chr18,-,60995380,61014222,60996622,61014009,"[[60996622, 61014222]]",Slc6a7
ENSMUSG00000052033,chr2,+,170496428,170519123,170511446,170518801,"[[170496428, 170518801]]",Pfdn4
ENSMUSG00000052040,chr7,-,63886351,63938915,63891511,63938546,"[[63891511, 63938915]]",Klf13
ENSMUSG00000052056,chr2,-,170108643,170142678,170112508,170120405,"[[170112508, 170142678]]",Zfp217
ENSMUSG00000052062,chr1,+,61638824,62642284,61639243,62637920,"[[61638824, 62637920]]",Pard3b
ENSMUSG00000052085,chr19,+,24999534,25202432,24999651,25201044,"[[24999534, 25201044]]",Dock8
ENSMUSG00000052087,chr13,+,55369732,55384687,55369892,55384132,"[[55369732, 55384132]]",Rgs14
ENSMUSG00000052102,chr18,-,38327535,38339003,38328876,38338214,"[[38328876, 38339003]]",Gnpda1
ENSMUSG00000052105,chr17,-,66336982,66449750,66337963,66449345,"[[66337963, 66449750]]",Mtcl1
ENSMUSG00000052117,chr4,-,57908483,57916297,57910103,57915795,"[[57910103, 57916297]]",D630039A03Rik
ENSMUSG00000052133,chr16,+,35541362,35664261,35622627,35663272,"[[35541362, 35663272]]",Sema5b
ENSMUSG00000052135,chr4,-,120267079,120287349,120267920,120287252,"[[120267920, 120287349]]",Foxo6
ENSMUSG00000052139,chr5,+,31697684,32084962,31701850,32084641,"[[31697684, 32084641]]",Babam2
ENSMUSG00000052142,chr17,-,32390659,32403583,32391083,32403449,"[[32391083, 32403583]]",Rasal3
ENSMUSG00000052144,chr6,+,100833622,100869934,100833884,100866573,"[[100833622, 100866573]]",Ppp4r2
ENSMUSG00000052146,chr17,-,27630418,27636669,27630445,27634475,"[[27630445, 27636669]]",Rps10
ENSMUSG00000052151,chr10,-,79526430,79533796,79527135,79533675,"[[79527135, 79533796]]",Plpp2
ENSMUSG00000052155,chr2,+,48814109,48903269,48814772,48899785,"[[48814109, 48899785]]",Acvr2a
ENSMUSG00000052160,chr12,+,112760655,112768990,112760757,112768619,"[[112760655, 112768619]]",Pld4
ENSMUSG00000052187,chr7,-,103851749,103853216,103851877,103853152,"[[103851877, 103853216]]",Hbb-y
ENSMUSG00000052212,chr7,-,24743983,24760311,24744221,24760286,"[[24744221, 24760311]]",Cd177
ENSMUSG00000052214,chr7,+,19228334,19256543,19228443,19255837,"[[19228334, 19255837]]",Opa3
ENSMUSG00000052217,chr7,-,103841637,103843164,103841755,103843110,"[[103841755, 103843164]]",Hbb-bh1
ENSMUSG00000052221,chr12,+,76417538,76439492,76417630,76439302,"[[76417538, 76439302]]",Ppp1r36
ENSMUSG00000052229,chr18,-,31942997,31949636,31946992,31948008,"[[31946992, 31949636]]",Gpr17
ENSMUSG00000052234,chr11,-,87864000,87875536,87864709,87875414,"[[87864709, 87875536]]",Epx
ENSMUSG00000052253,chr15,+,25984366,25998481,25984550,25997291,"[[25984366, 25997291]]",Zfp622
ENSMUSG00000052270,chr17,+,17887824,17893952,17892744,17893796,"[[17887824, 17893796]]",Fpr2
ENSMUSG00000052271,chr5,+,144190286,144194441,144191072,144191662,"[[144190286, 144191662]]",Bhlha15
ENSMUSG00000052273,chr7,-,119922671,120095177,119922720,120095177,"[[119922720, 120095177]]",Dnah3
ENSMUSG00000052276,chr16,+,27307489,27351212,27321339,27346952,"[[27307489, 27346952]]",Ostn
ENSMUSG00000052293,chr13,+,100651579,100656060,100655051,100655842,"[[100651579, 100655842]]",Taf9
ENSMUSG00000052296,chr7,-,4631495,4659019,4632244,4647401,"[[4632244, 4659019]]",Ppp6r1
ENSMUSG00000052298,chr11,-,54717456,54787675,54720262,54740291,"[[54720262, 54787675]]",Cdc42se2
ENSMUSG00000052299,chr16,-,87376651,87432612,87378948,87432467,"[[87378948, 87432612]]",Ltn1
ENSMUSG00000052301,chr7,+,126847416,126852705,126848586,126852033,"[[126847416, 126852033]]",Doc2a
ENSMUSG00000052302,chr10,-,121263820,121351278,121266828,121351278,"[[121266828, 121351278]]",Tbc1d30
ENSMUSG00000052310,chr3,+,90248172,90253612,90248977,90252339,"[[90248172, 90252339]]",Slc39a1
ENSMUSG00000052316,chr16,-,30269302,30283256,30272783,30274519,"[[30272783, 30283256]]",Lrrc15
ENSMUSG00000052331,chr1,-,54645340,54926387,54648280,54926166,"[[54648280, 54926387]]",Ankrd44
ENSMUSG00000052336,chr9,-,119901616,120069879,120051273,120052334,"[[120051273, 120069879]]",Cx3cr1
ENSMUSG00000052337,chr6,+,71831331,71877388,71831471,71877351,"[[71831331, 71877351]]",Immt
ENSMUSG00000052353,chr7,-,83932857,84086502,83935624,84003405,"[[83935624, 84086502]]",Cemip
ENSMUSG00000052363,chr16,+,32496265,32507217,32497087,32507086,"[[32496265, 32507086]]",Zdhhc19
ENSMUSG00000052369,chr15,+,97964200,97970275,97964850,97969716,"[[97964200, 97969716]]",Tmem106c
ENSMUSG00000052372,chrX,-,86740870,88115645,86747245,87890235,"[[86747245, 88115645]]",Il1rapl1
ENSMUSG00000052373,chr11,-,101999652,102028461,102000556,102025756,"[[102000556, 102028461]]",Mpp3
ENSMUSG00000052374,chr13,-,12269426,12340760,12269497,12340500,"[[12269497, 12340760]]",Actn2
ENSMUSG00000052382,chr14,-,51038459,51041869,51038968,51039519,"[[51038968, 51041869]]",Rnase9
ENSMUSG00000052384,chr16,-,32142785,32165594,32143035,32165415,"[[32143035, 32165594]]",Nrros
ENSMUSG00000052387,chr19,+,22139046,22995410,22139119,22988813,"[[22139046, 22988813]]",Trpm3
ENSMUSG00000052392,chr12,+,84038379,84048601,84038511,84043793,"[[84038379, 84043793]]",Acot4
ENSMUSG00000052395,chr14,+,30654360,30691317,30654413,30690606,"[[30654360, 30690606]]",Rft1
ENSMUSG00000052396,chr7,-,99219084,99238619,99219808,99238565,"[[99219808, 99238619]]",Mogat2
ENSMUSG00000052397,chr17,-,6738041,6782784,6739306,6782643,"[[6739306, 6782784]]",Ezr
ENSMUSG00000052406,chr2,-,26953563,26964386,26954480,26964318,"[[26954480, 26964386]]",Rexo4
ENSMUSG00000052407,chr4,+,83525545,83864670,83535891,83864444,"[[83525545, 83864444]]",Ccdc171
ENSMUSG00000052415,chr3,+,93442330,93449077,93442330,93448051,"[[93442330, 93448051]]",Tchh
ENSMUSG00000052417,chr14,-,14171738,14186838,14175133,14176080,"[[14175133, 14186838]]",Olfr720
ENSMUSG00000052423,chr1,+,171270328,171276896,171271668,171276376,"[[171270328, 171276376]]",B4galt3
ENSMUSG00000052428,chr1,+,167308378,167330785,167308670,167330380,"[[167308378, 167330380]]",Tmco1
ENSMUSG00000052430,chr3,-,141837136,142169425,141840618,141880499,"[[141840618, 142169425]]",Bmpr1b
ENSMUSG00000052435,chr14,-,54710360,54712174,54710542,54711958,"[[54710542, 54712174]]",Cebpe
ENSMUSG00000052456,chr8,-,85017931,85025281,85018127,85025265,"[[85018127, 85025281]]",Asna1
ENSMUSG00000052459,chr16,-,44085402,44139705,44087427,44116868,"[[44087427, 44139705]]",Atp6v1a
ENSMUSG00000052468,chr3,-,10179851,10183929,10180753,10183819,"[[10180753, 10183929]]",Pmp2
ENSMUSG00000052469,chr17,+,13354572,13377223,13355760,13376373,"[[13354572, 13376373]]",Tcp10c
ENSMUSG00000052485,chr13,-,98686235,98694834,98686324,98692640,"[[98686324, 98694834]]",Tmem171
ENSMUSG00000052488,chr8,-,72460489,72475226,72461318,72475082,"[[72461318, 72475226]]",Cherp
ENSMUSG00000052496,chr15,-,85814670,85821734,85815356,85821733,"[[85815356, 85821734]]",Pkdrej
ENSMUSG00000052504,chr16,-,63543534,63864158,63546134,63864047,"[[63546134, 63864158]]",Epha3
ENSMUSG00000052512,chr7,+,48959097,49610090,48964366,49606818,"[[48959097, 49606818]]",Nav2
ENSMUSG00000052516,chr16,-,73891839,74411534,73895829,74410912,"[[73895829, 74411534]]",Robo2
ENSMUSG00000052525,chr17,+,71552061,71589533,71556258,71588671,"[[71552061, 71588671]]",Spdya
ENSMUSG00000052533,chr2,+,30286397,30344266,30286439,30343875,"[[30286397, 30343875]]",Nup188
ENSMUSG00000052534,chr1,-,168119364,168432270,168158735,168431504,"[[168158735, 168432270]]",Pbx1
ENSMUSG00000052537,chr16,-,59200352,59203533,59201507,59202424,"[[59201507, 59203533]]",Olfr198
ENSMUSG00000052539,chr3,-,104013259,104220374,104014972,104219966,"[[104014972, 104220374]]",Magi3
ENSMUSG00000052544,chr3,-,153198266,153725174,153205408,153725113,"[[153205408, 153725174]]",St6galnac3
ENSMUSG00000052549,chrX,+,134187501,134208028,134189836,134207583,"[[134187501, 134207583]]",Arl13a
ENSMUSG00000052551,chr13,+,8202866,8761530,8203221,8757399,"[[8202866, 8757399]]",Adarb2
ENSMUSG00000052557,chr8,+,117158135,117215997,117158135,117204325,"[[117158135, 117204325]]",Gan
ENSMUSG00000052560,chr15,-,90487483,90679432,90488990,90679304,"[[90488990, 90679432]]",Cpne8
ENSMUSG00000052565,chr13,+,23553262,23560686,23555090,23555752,"[[23553262, 23555752]]",Hist1h1d
ENSMUSG00000052566,chr8,+,84990603,85003349,84990708,85003008,"[[84990603, 85003008]]",Hook2
ENSMUSG00000052572,chr7,+,90476694,92449247,90477857,92444614,"[[90476694, 92444614]]",Dlg2
ENSMUSG00000052581,chr6,+,80018877,80810143,80019180,80809186,"[[80018877, 80809186]]",Lrrtm4
ENSMUSG00000052584,chr14,-,76532814,76556889,76533209,76556514,"[[76533209, 76556889]]",Serp2
ENSMUSG00000052593,chr12,-,21323509,21373632,21324169,21373432,"[[21324169, 21373632]]",Adam17
ENSMUSG00000052595,chr19,+,31868764,31948995,31893100,31947507,"[[31868764, 31947507]]",A1cf
ENSMUSG00000052609,chr12,+,76530891,76579042,76560168,76578405,"[[76530891, 76578405]]",Plekhg3
ENSMUSG00000052613,chr10,+,73821867,74649737,73947056,74646069,"[[73821867, 74646069]]",Pcdh15
ENSMUSG00000052616,chr8,-,104446719,104509887,104447146,104507820,"[[104447146, 104509887]]",Terb1
ENSMUSG00000052631,chr6,-,72513641,72521707,72513738,72521673,"[[72513738, 72521707]]",Sh2d6
ENSMUSG00000052632,chr12,+,21111748,21270171,21112044,21267789,"[[21111748, 21267789]]",Asap2
ENSMUSG00000052656,chr6,+,71493894,71510881,71494663,71510435,"[[71493894, 71510435]]",Rnf103
ENSMUSG00000052675,chr7,+,24112314,24127952,24118369,24127233,"[[24112314, 24127233]]",Zfp112
ENSMUSG00000052676,chrX,-,134971372,135009209,134972700,135008974,"[[134972700, 135009209]]",Zmat1
ENSMUSG00000052681,chr10,-,117813871,117846035,117817377,117824650,"[[117817377, 117846035]]",Rap1b
ENSMUSG00000052684,chr4,-,95049034,95052222,95050270,95051271,"[[95050270, 95052222]]",Jun
ENSMUSG00000052688,chr1,+,131688695,131715439,131697014,131711694,"[[131688695, 131711694]]",Rab7b
ENSMUSG00000052698,chr9,-,67217087,67559703,67221393,67397653,"[[67221393, 67559703]]",Tln2
ENSMUSG00000052707,chr7,+,123124177,123195296,123124328,123193987,"[[123124177, 123193987]]",Tnrc6a
ENSMUSG00000052712,chr17,+,29268788,29314065,29282079,29301447,"[[29268788, 29301447]]",BC004004
ENSMUSG00000052713,chr18,-,54888048,54990166,54889078,54988513,"[[54889078, 54990166]]",Zfp608
ENSMUSG00000052726,chr1,+,140246158,140612067,140246257,140609709,"[[140246158, 140609709]]",Kcnt2
ENSMUSG00000052727,chr13,-,99421446,99516540,99425809,99516487,"[[99425809, 99516540]]",Map1b
ENSMUSG00000052738,chr6,+,73248382,73276911,73248657,73276748,"[[73248382, 73276748]]",Suclg1
ENSMUSG00000052748,chr1,-,151367699,151428455,151368462,151423560,"[[151368462, 151428455]]",Swt1
ENSMUSG00000052751,chr6,+,48593883,48599082,48594014,48597941,"[[48593883, 48597941]]",Repin1
ENSMUSG00000052752,chr17,-,24508562,24527938,24509347,24519208,"[[24509347, 24527938]]",Traf7
ENSMUSG00000052759,chr1,-,136259797,136260873,136259800,136260873,"[[136259800, 136260873]]",Gpr25
ENSMUSG00000052763,chr6,+,47920476,47932639,47920726,47931564,"[[47920476, 47931564]]",Zfp212
ENSMUSG00000052783,chr5,+,34660379,34755303,34660953,34755191,"[[34660379, 34755191]]",Grk4
ENSMUSG00000052794,chr8,+,72443880,72461001,72444751,72460148,"[[72443880, 72460148]]",1700030K09Rik
ENSMUSG00000052798,chr10,-,117750621,117792705,117750863,117792611,"[[117750863, 117792705]]",Nup107
ENSMUSG00000052812,chr12,+,4917404,5047394,4917709,5044044,"[[4917404, 5044044]]",Atad2b
ENSMUSG00000052819,chr8,-,85007202,85014531,85007564,85013533,"[[85007564, 85014531]]",Best2
ENSMUSG00000052821,chrX,-,106574346,106603679,106577823,106580861,"[[106577823, 106603679]]",Cysltr1
ENSMUSG00000052833,chr7,-,16320234,16387806,16320857,16387750,"[[16320857, 16387806]]",Sae1
ENSMUSG00000052837,chr8,-,84976910,84978718,84977398,84978429,"[[84977398, 84978718]]",Junb
ENSMUSG00000052850,chr6,+,40491233,40492305,40491238,40492236,"[[40491233, 40492236]]",Tas2r137
ENSMUSG00000052852,chr6,+,71707561,71810710,71707970,71807859,"[[71707561, 71807859]]",Reep1
ENSMUSG00000052854,chrX,+,138914430,139010532,138914752,139007175,"[[138914430, 139007175]]",Nrk
ENSMUSG00000052861,chr6,-,73017606,73221651,73017745,73212663,"[[73017745, 73221651]]",Dnah6
ENSMUSG00000052889,chr7,+,122289297,122634402,122289345,122633894,"[[122289297, 122633894]]",Prkcb
ENSMUSG00000052906,chr8,-,33619586,33641967,33621533,33641937,"[[33621533, 33641967]]",Ubxn8
ENSMUSG00000052911,chr9,+,108479736,108490530,108479753,108490417,"[[108479736, 108490417]]",Lamb2
ENSMUSG00000052915,chr11,+,98795516,98807859,98795831,98805429,"[[98795516, 98805429]]",Msl1
ENSMUSG00000052917,chr16,+,56075409,56190012,56075539,56188369,"[[56075409, 56188369]]",Senp7
ENSMUSG00000052920,chr19,-,30564489,31765033,30569241,31764822,"[[30569241, 31765033]]",Prkg1
ENSMUSG00000052921,chr11,-,68943155,68957480,68944681,68955024,"[[68944681, 68957480]]",Arhgef15
ENSMUSG00000052922,chr2,+,158258094,158284531,158258295,158284264,"[[158258094, 158284264]]",Bpi
ENSMUSG00000052926,chr8,-,84956610,84969767,84957726,84965986,"[[84957726, 84969767]]",Rnaseh2a
ENSMUSG00000052928,chr18,-,75431224,75697554,75435197,75637312,"[[75435197, 75697554]]",Ctif
ENSMUSG00000052934,chr8,-,121549440,121578806,121552226,121578755,"[[121552226, 121578806]]",Fbxo31
ENSMUSG00000052942,chr19,-,28258851,28680077,28262982,28666140,"[[28262982, 28680077]]",Glis3
ENSMUSG00000052949,chr11,-,116336353,116413004,116338709,116412784,"[[116338709, 116413004]]",Rnf157
ENSMUSG00000052955,chr6,-,53873279,53978671,53873417,53974796,"[[53873417, 53978671]]",Cpvl
ENSMUSG00000052957,chr13,-,60174405,60177365,60175790,60176941,"[[60175790, 60177365]]",Gas1
ENSMUSG00000052962,chr6,-,71812997,71823810,71816102,71823758,"[[71816102, 71823810]]",Mrpl35
ENSMUSG00000052974,chr7,+,27119909,27133660,27121571,27133394,"[[27119909, 27133394]]",Cyp2f2
ENSMUSG00000052981,chr13,-,69702832,69739889,69704045,69739340,"[[69704045, 69739889]]",Ube2ql1
ENSMUSG00000052997,chr7,-,34140688,34169599,34141288,34169348,"[[34141288, 34169599]]",Uba2
ENSMUSG00000053004,chr6,+,114397936,114483296,114479760,114481223,"[[114397936, 114481223]]",Hrh1
ENSMUSG00000053007,chr6,+,53287270,53700376,53290813,53694084,"[[53287270, 53694084]]",Creb5
ENSMUSG00000053012,chr6,+,71271677,71285319,71283986,71284753,"[[71271677, 71284753]]",Krcc1
ENSMUSG00000053024,chr1,-,132511782,132543256,132515537,132533732,"[[132515537, 132543256]]",Cntn2
ENSMUSG00000053025,chr7,-,75114894,75309262,75117598,75206540,"[[75117598, 75309262]]",Sv2b
ENSMUSG00000053030,chr5,-,77205107,77211471,77205383,77211374,"[[77205383, 77211471]]",Spink2
ENSMUSG00000053044,chr6,+,71322788,71337494,71322857,71336719,"[[71322788, 71336719]]",Cd8b1
ENSMUSG00000053046,chr7,+,141949751,142004247,141950086,142002491,"[[141949751, 142002491]]",Brsk2
ENSMUSG00000053062,chr16,+,84774123,84825928,84774487,84822816,"[[84774123, 84822816]]",Jam2
ENSMUSG00000053063,chr6,+,129342691,129365303,129350421,129364059,"[[129342691, 129364059]]",Clec12a
ENSMUSG00000053070,chr9,-,8021672,8042823,8022419,8042779,"[[8022419, 8042823]]",Cfap300
ENSMUSG00000053080,chr19,+,7417625,7425904,7417779,7423103,"[[7417625, 7423103]]",2700081O15Rik
ENSMUSG00000053091,chr7,+,66689889,66714747,66708119,66714650,"[[66689889, 66714650]]",Lins1
ENSMUSG00000053093,chr14,-,54970684,54994626,54970796,54992873,"[[54970796, 54994626]]",Myh7
ENSMUSG00000053094,chr5,+,130217081,130243765,130229468,130241295,"[[130217081, 130241295]]",Tmem248
ENSMUSG00000053101,chr13,-,19749682,19824257,19751689,19752603,"[[19751689, 19824257]]",Gpr141
ENSMUSG00000053110,chr9,-,7931999,8004596,7934500,8004390,"[[7934500, 8004596]]",Yap1
ENSMUSG00000053111,chr7,+,133776861,133881532,133776958,133880784,"[[133776861, 133880784]]",Fank1
ENSMUSG00000053113,chr11,-,117966079,117969186,117967556,117968230,"[[117967556, 117969186]]",Socs3
ENSMUSG00000053119,chr6,+,71543797,71582609,71543989,71579789,"[[71543797, 71579789]]",Chmp3
ENSMUSG00000053128,chr9,-,44110781,44113504,44111678,44112949,"[[44111678, 44113504]]",Rnf26
ENSMUSG00000053129,chr5,+,147188696,147190947,147188890,147190151,"[[147188696, 147190151]]",Gsx1
ENSMUSG00000053134,chr5,-,31514564,31526773,31515667,31523066,"[[31515667, 31526773]]",Supt7l
ENSMUSG00000053137,chr15,-,89142487,89149628,89143741,89149513,"[[89143741, 89149628]]",Mapk11
ENSMUSG00000053141,chr2,-,161521990,162661147,161529519,162660899,"[[161529519, 162661147]]",Ptprt
ENSMUSG00000053153,chr1,+,69826988,70725132,69827004,70724939,"[[69826988, 70724939]]",Spag16
ENSMUSG00000053158,chr7,-,80377758,80387946,80377935,80387334,"[[80377935, 80387946]]",Fes
ENSMUSG00000053161,chr1,+,83159762,83210574,83159799,83210328,"[[83159762, 83210328]]",Daw1
ENSMUSG00000053164,chr2,+,37516626,37520603,37517444,37518490,"[[37516626, 37518490]]",Gpr21
ENSMUSG00000053166,chr2,-,165111507,165234853,165112161,165181149,"[[165112161, 165234853]]",Cdh22
ENSMUSG00000053175,chr7,-,19808462,19822770,19808875,19822677,"[[19808875, 19822770]]",Bcl3
ENSMUSG00000053184,chr11,+,80858365,80867814,80863039,80867701,"[[80858365, 80867701]]",Spaca3
ENSMUSG00000053192,chr3,-,95219135,95232171,95220188,95220457,"[[95220188, 95232171]]",Mllt11
ENSMUSG00000053194,chr5,-,30485583,30545836,30485740,30545779,"[[30485740, 30545836]]",Cib4
ENSMUSG00000053198,chr7,+,27497388,27520214,27497388,27519831,"[[27497388, 27519831]]",Prx
ENSMUSG00000053199,chr9,+,51765352,51853856,51765507,51850396,"[[51765352, 51850396]]",Arhgap20
ENSMUSG00000053205,chr14,+,45351093,45385507,45351473,45373582,"[[45351093, 45373582]]",Styx
ENSMUSG00000053216,chr13,-,23477676,23488857,23478237,23487917,"[[23478237, 23488857]]",Btn2a2
ENSMUSG00000053217,chr6,-,132777179,132778162,132777182,132778162,"[[132777182, 132778162]]",Tas2r136
ENSMUSG00000053219,chr10,+,22158569,22374139,22174320,22182088,"[[22158569, 22182088]]",Raet1e
ENSMUSG00000053226,chr8,-,84815404,84822823,84816291,84822680,"[[84816291, 84822823]]",Dand5
ENSMUSG00000053253,chr14,+,105258573,105309298,105258673,105304831,"[[105258573, 105304831]]",Ndfip2
ENSMUSG00000053268,chr5,+,104170712,104180127,104174027,104178607,"[[104170712, 104178607]]",Dspp
ENSMUSG00000053279,chr19,+,20492715,20643465,20602012,20642963,"[[20492715, 20642963]]",Aldh1a1
ENSMUSG00000053286,chr1,+,151428542,151458161,151428877,151457931,"[[151428542, 151457931]]",Trmt1l
ENSMUSG00000053289,chr9,-,53098635,53248053,53099088,53248003,"[[53099088, 53248053]]",Ddx10
ENSMUSG00000053291,chr7,-,27168424,27178896,27172655,27178742,"[[27172655, 27178896]]",Rab4b
ENSMUSG00000053293,chr5,-,135376141,135394546,135378080,135394505,"[[135378080, 135394546]]",Pom121
ENSMUSG00000053310,chr9,-,37544492,37552904,37545956,37552551,"[[37545956, 37552904]]",Nrgn
ENSMUSG00000053317,chr4,+,47474658,47483242,47474751,47483128,"[[47474658, 47483128]]",Sec61b
ENSMUSG00000053318,chr1,-,172581758,172590568,172582447,172590432,"[[172582447, 172590568]]",Slamf8
ENSMUSG00000053329,chr10,-,78162066,78169782,78162593,78169729,"[[78162593, 78169782]]",Gatd3a
ENSMUSG00000053333,chr1,+,86703819,87050095,86744777,87049742,"[[86703819, 87049742]]",Dis3l2
ENSMUSG00000053334,chr5,+,113735803,113740600,113736872,113739139,"[[113735803, 113739139]]",Ficd
ENSMUSG00000053338,chr7,-,3486500,3502624,3487015,3502465,"[[3487015, 3502624]]",Tarm1
ENSMUSG00000053367,chr7,+,6252710,6281859,6252808,6281492,"[[6252710, 6281492]]",Epp13
ENSMUSG00000053368,chr5,+,150018675,150081336,150018868,150081201,"[[150018675, 150081201]]",Rxfp2
ENSMUSG00000053375,chr17,-,86944109,86947897,86944291,86944968,"[[86944291, 86947897]]",Atp6v1e2
ENSMUSG00000053388,chr5,+,135353295,135368005,135353296,135367651,"[[135353295, 135367651]]",Trim50
ENSMUSG00000053391,chr6,+,116489091,116498221,116493611,116494537,"[[116489091, 116494537]]",Olfr211
ENSMUSG00000053395,chr7,+,3390683,3415648,3394225,3415602,"[[3390683, 3415602]]",Cacng8
ENSMUSG00000053398,chr3,-,98313170,98339990,98313306,98339832,"[[98313306, 98339990]]",Phgdh
ENSMUSG00000053399,chr8,-,113697126,113848615,113698972,113848476,"[[113698972, 113848615]]",Adamts18
ENSMUSG00000053411,chr15,-,79915807,79971119,79918322,79933899,"[[79918322, 79971119]]",Cbx7
ENSMUSG00000053414,chr16,+,90386013,90499553,90386456,90496745,"[[90386013, 90496745]]",Hunk
ENSMUSG00000053436,chr17,+,28691329,28748406,28691740,28746335,"[[28691329, 28746335]]",Mapk14
ENSMUSG00000053441,chr18,+,58836667,59054060,58836807,59052685,"[[58836667, 59052685]]",Adamts19
ENSMUSG00000053453,chr14,-,13949012,13961852,13949263,13961800,"[[13949263, 13961852]]",Thoc7
ENSMUSG00000053460,chr6,+,72414308,72430712,72414407,72430153,"[[72414308, 72430153]]",Ggcx
ENSMUSG00000053461,chr1,+,183418462,183436808,183418512,183436477,"[[183418462, 183436477]]",Hhipl2
ENSMUSG00000053465,chr14,+,119138341,119869815,119138415,119869591,"[[119138341, 119869591]]",Hs6st3
ENSMUSG00000053469,chr15,+,66670753,66850721,66670792,66850604,"[[66670753, 66850604]]",Tg
ENSMUSG00000053470,chr6,-,71588972,71632990,71589638,71632241,"[[71589638, 71632990]]",Kdm3a
ENSMUSG00000053475,chr2,+,52038009,52056686,52038176,52055968,"[[52038009, 52055968]]",Tnfaip6
ENSMUSG00000053477,chr18,+,69343356,69689079,69347299,69682816,"[[69343356, 69682816]]",Tcf4
ENSMUSG00000053483,chr1,-,171281945,171287991,171282215,171286949,"[[171282215, 171287991]]",Usp21
ENSMUSG00000053490,chr8,-,64999307,65018584,65000198,65001595,"[[65000198, 65018584]]",Trim60
ENSMUSG00000053510,chr4,+,109000655,109061777,109000833,109061127,"[[109000655, 109061127]]",Nrd1
ENSMUSG00000053519,chr11,-,33629339,33992988,33630554,33992836,"[[33630554, 33992988]]",Kcnip1
ENSMUSG00000053522,chr7,+,28863853,28866284,28864481,28866190,"[[28863853, 28866190]]",Lgals7
ENSMUSG00000053536,chr19,+,31082837,31087069,31083066,31084961,"[[31082837, 31084961]]",Cstf2t
ENSMUSG00000053550,chr7,-,4825552,4844696,4829638,4836723,"[[4829638, 4844696]]",Shisa7
ENSMUSG00000053552,chr2,+,130295169,130370481,130295264,130369505,"[[130295169, 130369505]]",Ebf4
